model,n,mean,sd,median,q1,q3,panel
GPT-5.5,64,6.21875,3.3260336739125176,8.0,8.0,8.0,a
Qwen3.6-plus,45,8.0,0.0,8.0,8.0,8.0,a
GLM-4.6V,44,8.0,0.0,8.0,8.0,8.0,a
Kimi-K2.5,24,7.666666666666667,1.632993161855452,8.0,8.0,8.0,a
GPT-5.5,48,0.07974995833333333,0.0385247046009956,0.082857,0.05178575,0.10692875,b
Qwen3.6-plus,45,0.0712698888888889,0.04135888578276643,0.062286,0.043714,0.079429,b
GLM-4.6V,41,0.1211290243902439,0.05791428870861137,0.126286,0.065429,0.172286,b
Kimi-K2.5,15,0.0442684,0.025362306330458197,0.048571,0.0219245,0.052864499999999995,b
GPT-5.5,1,71.185,,,,,c
Qwen3.6-plus,1,18.51,,,,,c
GLM-4.6V,1,32.53,,,,,c
Kimi-K2.5,1,25.23,,,,,c
