analysis,value,group,n_total,group_ns,replicate_definition,test,comparison,statistic,p_value,p_adjusted,correction,notes
Fig. 5a relative K4M fraction,relative_k4m_fraction,formulation_group,12,Standard: n=3; GPT-5.4: n=3; qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV).,Shapiro-Wilk normality check,Standard,1.0,1.0,,,
Fig. 5a relative K4M fraction,relative_k4m_fraction,formulation_group,12,Standard: n=3; GPT-5.4: n=3; qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV).,Shapiro-Wilk normality check,GPT-5.4,0.9725197434518319,0.6819310993571708,,,
Fig. 5a relative K4M fraction,relative_k4m_fraction,formulation_group,12,Standard: n=3; GPT-5.4: n=3; qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV).,Shapiro-Wilk normality check,qwen3.6-plus,0.7509473669075528,0.002090565863496874,,,
Fig. 5a relative K4M fraction,relative_k4m_fraction,formulation_group,12,Standard: n=3; GPT-5.4: n=3; qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV).,Shapiro-Wilk normality check,Gemini 2.5 Flash,0.86642607885396,0.2854339410835999,,,
Fig. 5a relative K4M fraction,relative_k4m_fraction,formulation_group,12,Standard: n=3; GPT-5.4: n=3; qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV).,Levene variance check,all groups,0.8825022866374632,0.4899887183448391,,,Median-centered Levene test used for variance check.
Fig. 5a relative K4M fraction,relative_k4m_fraction,formulation_group,12,Standard: n=3; GPT-5.4: n=3; qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV).,Kruskal-Wallis,overall,9.491725768321512,0.023419547472830683,,,Auto-selected non-parametric test because normality or variance assumptions were not supported. Levene p=0.489989.
Fig. 5a relative K4M fraction,relative_k4m_fraction,formulation_group,12,Standard: n=3; GPT-5.4: n=3; qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV).,Dunn post hoc,Standard vs GPT-5.4,,,0.012472113826202714,Dunn test with holm correction,
Fig. 5a relative K4M fraction,relative_k4m_fraction,formulation_group,12,Standard: n=3; GPT-5.4: n=3; qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV).,Dunn post hoc,Standard vs qwen3.6-plus,,,0.5520079245803723,Dunn test with holm correction,
Fig. 5a relative K4M fraction,relative_k4m_fraction,formulation_group,12,Standard: n=3; GPT-5.4: n=3; qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV).,Dunn post hoc,Standard vs Gemini 2.5 Flash,,,0.5520079245803723,Dunn test with holm correction,
Fig. 5a relative K4M fraction,relative_k4m_fraction,formulation_group,12,Standard: n=3; GPT-5.4: n=3; qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV).,Dunn post hoc,GPT-5.4 vs qwen3.6-plus,,,0.5520079245803723,Dunn test with holm correction,
