analysis,value,group,n_total,group_ns,replicate_definition,test,comparison,statistic,p_value,p_adjusted,correction,notes
Fig. 5a K4M/K100LV ratio,k4m_k100lv_ratio,formulation_group,15,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; GLM-4.6V: n=3; Kimi-K2.5: n=3,Each point is one independently recommended or measured formulation replicate.,Shapiro-Wilk normality check,Standard,0.9999074159800018,0.981622937331886,,,
Fig. 5a K4M/K100LV ratio,k4m_k100lv_ratio,formulation_group,15,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; GLM-4.6V: n=3; Kimi-K2.5: n=3,Each point is one independently recommended or measured formulation replicate.,Shapiro-Wilk normality check,GPT-5-mini,0.9998666844420742,0.9779478242449694,,,
Fig. 5a K4M/K100LV ratio,k4m_k100lv_ratio,formulation_group,15,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; GLM-4.6V: n=3; Kimi-K2.5: n=3,Each point is one independently recommended or measured formulation replicate.,Shapiro-Wilk normality check,Qwen3.6-plus,0.9998813478879922,0.97919595890787,,,
Fig. 5a K4M/K100LV ratio,k4m_k100lv_ratio,formulation_group,15,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; GLM-4.6V: n=3; Kimi-K2.5: n=3,Each point is one independently recommended or measured formulation replicate.,Shapiro-Wilk normality check,GLM-4.6V,0.9998937187798914,0.9803103799063436,,,
Fig. 5a K4M/K100LV ratio,k4m_k100lv_ratio,formulation_group,15,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; GLM-4.6V: n=3; Kimi-K2.5: n=3,Each point is one independently recommended or measured formulation replicate.,Shapiro-Wilk normality check,Kimi-K2.5,0.9999009214306945,0.9809892866756127,,,
Fig. 5a K4M/K100LV ratio,k4m_k100lv_ratio,formulation_group,15,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; GLM-4.6V: n=3; Kimi-K2.5: n=3,Each point is one independently recommended or measured formulation replicate.,Levene variance check,all groups,0.08570388874203823,0.9849240429980755,,,Median-centered Levene test used for variance check.
Fig. 5a K4M/K100LV ratio,k4m_k100lv_ratio,formulation_group,15,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; GLM-4.6V: n=3; Kimi-K2.5: n=3,Each point is one independently recommended or measured formulation replicate.,One-way ANOVA,overall,47.730716801502055,1.756336514459679e-06,,,Auto-selected parametric test. Levene p=0.984924.
Fig. 5a K4M/K100LV ratio,k4m_k100lv_ratio,formulation_group,15,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; GLM-4.6V: n=3; Kimi-K2.5: n=3,Each point is one independently recommended or measured formulation replicate.,Tukey HSD,GLM-4.6V vs GPT-5-mini,0.2144,,0.0001,Tukey HSD family-wise correction,reject=True; lower=0.125; upper=0.3039
Fig. 5a K4M/K100LV ratio,k4m_k100lv_ratio,formulation_group,15,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; GLM-4.6V: n=3; Kimi-K2.5: n=3,Each point is one independently recommended or measured formulation replicate.,Tukey HSD,GLM-4.6V vs Kimi-K2.5,-0.0616,,0.2323,Tukey HSD family-wise correction,reject=False; lower=-0.1511; upper=0.0279
Fig. 5a K4M/K100LV ratio,k4m_k100lv_ratio,formulation_group,15,Standard: n=3; GPT-5-mini: n=3; Qwen3.6-plus: n=3; GLM-4.6V: n=3; Kimi-K2.5: n=3,Each point is one independently recommended or measured formulation replicate.,Tukey HSD,GLM-4.6V vs Qwen3.6-plus,0.1011,,0.0257,Tukey HSD family-wise correction,reject=True; lower=0.0117; upper=0.1906
