source_file,replicate_file_id,formulation_group,interval_end_time_h,interval_duration_h,interval_mean_absorbance,interval_AUC,AUC_0_8h,interval_auc_fraction,sum_of_interval_fractions,sum_check_pass,auc_method
0523-紫外-亚甲蓝-GPTS.xlsx,0523-紫外-亚甲蓝-GPTS,GPT-5-mini,0.5,0.5,0.12033333333333333,0.06016666666666667,2.1466666666666665,0.02802795031055901,1.0000000000000002,True,interval-average absorbance times duration; no trapezoidal interpolation
0523-紫外-亚甲蓝-GPTS.xlsx,0523-紫外-亚甲蓝-GPTS,GPT-5-mini,1.0,0.5,0.129,0.0645,2.1466666666666665,0.03004658385093168,1.0000000000000002,True,interval-average absorbance times duration; no trapezoidal interpolation
0523-紫外-亚甲蓝-GPTS.xlsx,0523-紫外-亚甲蓝-GPTS,GPT-5-mini,2.0,1.0,0.24133333333333332,0.24133333333333332,2.1466666666666665,0.1124223602484472,1.0000000000000002,True,interval-average absorbance times duration; no trapezoidal interpolation
0523-紫外-亚甲蓝-GPTS.xlsx,0523-紫外-亚甲蓝-GPTS,GPT-5-mini,4.0,2.0,0.5413333333333333,1.0826666666666667,2.1466666666666665,0.5043478260869566,1.0000000000000002,True,interval-average absorbance times duration; no trapezoidal interpolation
0523-紫外-亚甲蓝-GPTS.xlsx,0523-紫外-亚甲蓝-GPTS,GPT-5-mini,6.0,2.0,0.32233333333333336,0.6446666666666667,2.1466666666666665,0.30031055900621123,1.0000000000000002,True,interval-average absorbance times duration; no trapezoidal interpolation
0523-紫外-亚甲蓝-GPTS.xlsx,0523-紫外-亚甲蓝-GPTS,GPT-5-mini,8.0,2.0,0.02666666666666667,0.05333333333333334,2.1466666666666665,0.02484472049689441,1.0000000000000002,True,interval-average absorbance times duration; no trapezoidal interpolation
0524-紫外-亚甲蓝-GPTS.xlsx,0524-紫外-亚甲蓝-GPTS,GPT-5-mini,0.5,0.5,0.2383333333333333,0.11916666666666666,2.3609999999999998,0.050472963433573347,0.9999999999999999,True,interval-average absorbance times duration; no trapezoidal interpolation
0524-紫外-亚甲蓝-GPTS.xlsx,0524-紫外-亚甲蓝-GPTS,GPT-5-mini,1.0,0.5,0.19966666666666666,0.09983333333333333,2.3609999999999998,0.04228434279260201,0.9999999999999999,True,interval-average absorbance times duration; no trapezoidal interpolation
0524-紫外-亚甲蓝-GPTS.xlsx,0524-紫外-亚甲蓝-GPTS,GPT-5-mini,2.0,1.0,0.3133333333333333,0.3133333333333333,2.3609999999999998,0.1327121276295355,0.9999999999999999,True,interval-average absorbance times duration; no trapezoidal interpolation
0524-紫外-亚甲蓝-GPTS.xlsx,0524-紫外-亚甲蓝-GPTS,GPT-5-mini,4.0,2.0,0.5823333333333333,1.1646666666666665,2.3609999999999998,0.49329380206127343,0.9999999999999999,True,interval-average absorbance times duration; no trapezoidal interpolation
0524-紫外-亚甲蓝-GPTS.xlsx,0524-紫外-亚甲蓝-GPTS,GPT-5-mini,6.0,2.0,0.317,0.634,2.3609999999999998,0.26853028377806015,0.9999999999999999,True,interval-average absorbance times duration; no trapezoidal interpolation
0524-紫外-亚甲蓝-GPTS.xlsx,0524-紫外-亚甲蓝-GPTS,GPT-5-mini,8.0,2.0,0.015,0.03,2.3609999999999998,0.012706480304955529,0.9999999999999999,True,interval-average absorbance times duration; no trapezoidal interpolation
0426-紫外-亚甲蓝-GPTs.xlsx,gpt5mini_excel_1,GPT-5-mini,0.5,0.5,0.002,0.001,2.3104999999999998,0.0004328067517853279,1.0000000000000002,True,interval-average absorbance times duration; no trapezoidal interpolation
0426-紫外-亚甲蓝-GPTs.xlsx,gpt5mini_excel_1,GPT-5-mini,1.0,0.5,0.017666666666666667,0.008833333333333334,2.3104999999999998,0.0038231263074370633,1.0000000000000002,True,interval-average absorbance times duration; no trapezoidal interpolation
0426-紫外-亚甲蓝-GPTs.xlsx,gpt5mini_excel_1,GPT-5-mini,2.0,1.0,0.16866666666666666,0.16866666666666666,2.3104999999999998,0.07300007213445864,1.0000000000000002,True,interval-average absorbance times duration; no trapezoidal interpolation
0426-紫外-亚甲蓝-GPTs.xlsx,gpt5mini_excel_1,GPT-5-mini,4.0,2.0,0.6463333333333333,1.2926666666666666,2.3104999999999998,0.5594748611411672,1.0000000000000002,True,interval-average absorbance times duration; no trapezoidal interpolation
0426-紫外-亚甲蓝-GPTs.xlsx,gpt5mini_excel_1,GPT-5-mini,6.0,2.0,0.3906666666666667,0.7813333333333334,2.3104999999999998,0.3381663420616029,1.0000000000000002,True,interval-average absorbance times duration; no trapezoidal interpolation
0426-紫外-亚甲蓝-GPTs.xlsx,gpt5mini_excel_1,GPT-5-mini,8.0,2.0,0.028999999999999998,0.057999999999999996,2.3104999999999998,0.025102791603549016,1.0000000000000002,True,interval-average absorbance times duration; no trapezoidal interpolation
0524-紫外-亚甲蓝-Gemini.xlsx,0524-紫外-亚甲蓝-Gemini,Gemini 2.5 Flash,0.5,0.5,0.20166666666666666,0.10083333333333333,2.5821666666666663,0.03904989350029046,1.0000000000000002,True,interval-average absorbance times duration; no trapezoidal interpolation
0524-紫外-亚甲蓝-Gemini.xlsx,0524-紫外-亚甲蓝-Gemini,Gemini 2.5 Flash,1.0,0.5,0.3453333333333333,0.17266666666666666,2.5821666666666663,0.06686890853934035,1.0000000000000002,True,interval-average absorbance times duration; no trapezoidal interpolation
0524-紫外-亚甲蓝-Gemini.xlsx,0524-紫外-亚甲蓝-Gemini,Gemini 2.5 Flash,2.0,1.0,0.3,0.3,2.5821666666666663,0.11618150132317823,1.0000000000000002,True,interval-average absorbance times duration; no trapezoidal interpolation
0524-紫外-亚甲蓝-Gemini.xlsx,0524-紫外-亚甲蓝-Gemini,Gemini 2.5 Flash,4.0,2.0,0.5926666666666667,1.1853333333333333,2.5821666666666663,0.45904602078357976,1.0000000000000002,True,interval-average absorbance times duration; no trapezoidal interpolation
0524-紫外-亚甲蓝-Gemini.xlsx,0524-紫外-亚甲蓝-Gemini,Gemini 2.5 Flash,6.0,2.0,0.37266666666666665,0.7453333333333333,2.5821666666666663,0.288646485509585,1.0000000000000002,True,interval-average absorbance times duration; no trapezoidal interpolation
0524-紫外-亚甲蓝-Gemini.xlsx,0524-紫外-亚甲蓝-Gemini,Gemini 2.5 Flash,8.0,2.0,0.039,0.078,2.5821666666666663,0.03020719034402634,1.0000000000000002,True,interval-average absorbance times duration; no trapezoidal interpolation
0525-紫外-亚甲蓝-Gemini.xlsx,0525-紫外-亚甲蓝-Gemini,Gemini 2.5 Flash,0.5,0.5,0.3016666666666667,0.15083333333333335,2.0601666666666665,0.07321414125070788,1.0,True,interval-average absorbance times duration; no trapezoidal interpolation
0525-紫外-亚甲蓝-Gemini.xlsx,0525-紫外-亚甲蓝-Gemini,Gemini 2.5 Flash,1.0,0.5,0.18266666666666667,0.09133333333333334,2.0601666666666665,0.04433298276838444,1.0,True,interval-average absorbance times duration; no trapezoidal interpolation
0525-紫外-亚甲蓝-Gemini.xlsx,0525-紫外-亚甲蓝-Gemini,Gemini 2.5 Flash,2.0,1.0,0.242,0.242,2.0601666666666665,0.11746622441550038,1.0,True,interval-average absorbance times duration; no trapezoidal interpolation
0525-紫外-亚甲蓝-Gemini.xlsx,0525-紫外-亚甲蓝-Gemini,Gemini 2.5 Flash,4.0,2.0,0.49,0.98,2.0601666666666665,0.47568966912062133,1.0,True,interval-average absorbance times duration; no trapezoidal interpolation
0525-紫外-亚甲蓝-Gemini.xlsx,0525-紫外-亚甲蓝-Gemini,Gemini 2.5 Flash,6.0,2.0,0.27,0.54,2.0601666666666665,0.2621147156378934,1.0,True,interval-average absorbance times duration; no trapezoidal interpolation
0525-紫外-亚甲蓝-Gemini.xlsx,0525-紫外-亚甲蓝-Gemini,Gemini 2.5 Flash,8.0,2.0,0.027999999999999997,0.055999999999999994,2.0601666666666665,0.027182266806892647,1.0,True,interval-average absorbance times duration; no trapezoidal interpolation
0427-紫外-亚甲蓝-Gemini.xlsx,gemini25flash_excel_1,Gemini 2.5 Flash,0.5,0.5,0.057666666666666665,0.028833333333333332,2.296,0.012558072009291522,1.0,True,interval-average absorbance times duration; no trapezoidal interpolation
0427-紫外-亚甲蓝-Gemini.xlsx,gemini25flash_excel_1,Gemini 2.5 Flash,1.0,0.5,0.07833333333333332,0.03916666666666666,2.296,0.017058652729384435,1.0,True,interval-average absorbance times duration; no trapezoidal interpolation
0427-紫外-亚甲蓝-Gemini.xlsx,gemini25flash_excel_1,Gemini 2.5 Flash,2.0,1.0,0.2373333333333333,0.2373333333333333,2.296,0.10336817653890824,1.0,True,interval-average absorbance times duration; no trapezoidal interpolation
0427-紫外-亚甲蓝-Gemini.xlsx,gemini25flash_excel_1,Gemini 2.5 Flash,4.0,2.0,0.6046666666666667,1.2093333333333334,2.296,0.5267131242740999,1.0,True,interval-average absorbance times duration; no trapezoidal interpolation
0427-紫外-亚甲蓝-Gemini.xlsx,gemini25flash_excel_1,Gemini 2.5 Flash,6.0,2.0,0.35666666666666663,0.7133333333333333,2.296,0.31068524970963995,1.0,True,interval-average absorbance times duration; no trapezoidal interpolation
0427-紫外-亚甲蓝-Gemini.xlsx,gemini25flash_excel_1,Gemini 2.5 Flash,8.0,2.0,0.034,0.068,2.296,0.02961672473867596,1.0,True,interval-average absorbance times duration; no trapezoidal interpolation
