analysis,value,group,n_total,group_ns,replicate_definition,test,comparison,statistic,p_value,p_adjusted,correction,notes
Fig. 5a relative K4M fraction across model-optimized groups,relative_k4m_fraction,formulation_group,9,GPT-5.4: n=3; Qwen: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV). Standard is displayed as a fixed dashed reference line and excluded from this group test.,Shapiro-Wilk normality check,GPT-5.4,0.9725197434518319,0.6819310993571708,,,
Fig. 5a relative K4M fraction across model-optimized groups,relative_k4m_fraction,formulation_group,9,GPT-5.4: n=3; Qwen: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV). Standard is displayed as a fixed dashed reference line and excluded from this group test.,Shapiro-Wilk normality check,Qwen,0.7509473669075528,0.002090565863496874,,,
Fig. 5a relative K4M fraction across model-optimized groups,relative_k4m_fraction,formulation_group,9,GPT-5.4: n=3; Qwen: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV). Standard is displayed as a fixed dashed reference line and excluded from this group test.,Shapiro-Wilk normality check,Gemini 2.5 Flash,0.86642607885396,0.2854339410835999,,,
Fig. 5a relative K4M fraction across model-optimized groups,relative_k4m_fraction,formulation_group,9,GPT-5.4: n=3; Qwen: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV). Standard is displayed as a fixed dashed reference line and excluded from this group test.,Levene variance check,all groups,0.6590628442445665,0.5511301353436733,,,Median-centered Levene test used for variance check.
Fig. 5a relative K4M fraction across model-optimized groups,relative_k4m_fraction,formulation_group,9,GPT-5.4: n=3; Qwen: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV). Standard is displayed as a fixed dashed reference line and excluded from this group test.,Kruskal-Wallis,overall,5.422222222222217,0.06646291798667335,,,Auto-selected non-parametric test because normality or variance assumptions were not supported. Levene p=0.55113.
Fig. 5a relative K4M fraction across model-optimized groups,relative_k4m_fraction,formulation_group,9,GPT-5.4: n=3; Qwen: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV). Standard is displayed as a fixed dashed reference line and excluded from this group test.,Dunn post hoc,GPT-5.4 vs Qwen,,,0.11066527712114947,Dunn test with holm correction,
Fig. 5a relative K4M fraction across model-optimized groups,relative_k4m_fraction,formulation_group,9,GPT-5.4: n=3; Qwen: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV). Standard is displayed as a fixed dashed reference line and excluded from this group test.,Dunn post hoc,GPT-5.4 vs Gemini 2.5 Flash,,,0.11066527712114947,Dunn test with holm correction,
Fig. 5a relative K4M fraction across model-optimized groups,relative_k4m_fraction,formulation_group,9,GPT-5.4: n=3; Qwen: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV). Standard is displayed as a fixed dashed reference line and excluded from this group test.,Dunn post hoc,Qwen vs Gemini 2.5 Flash,,,0.8814974521910134,Dunn test with holm correction,
Fig. 5a descriptive difference from Standard reference,relative_k4m_fraction,formulation_group,3,GPT-5.4: n=3; Standard reference: fixed line,"Model bars use formulation entries/replicates from the Fig. 5a CSV. Standard is treated as a fixed dashed reference value, not a replicate group.",not run,GPT-5.4 mean minus Standard reference,-0.08595475820630183,,,none,No inferential comparison versus Standard was plotted because Standard is represented as a fixed reference line without an error bar.
Fig. 5a descriptive difference from Standard reference,relative_k4m_fraction,formulation_group,3,Qwen: n=3; Standard reference: fixed line,"Model bars use formulation entries/replicates from the Fig. 5a CSV. Standard is treated as a fixed dashed reference value, not a replicate group.",not run,Qwen mean minus Standard reference,-0.06133903252583989,,,none,No inferential comparison versus Standard was plotted because Standard is represented as a fixed reference line without an error bar.
Fig. 5a descriptive difference from Standard reference,relative_k4m_fraction,formulation_group,3,Gemini 2.5 Flash: n=3; Standard reference: fixed line,"Model bars use formulation entries/replicates from the Fig. 5a CSV. Standard is treated as a fixed dashed reference value, not a replicate group.",not run,Gemini 2.5 Flash mean minus Standard reference,-0.04743839754731416,,,none,No inferential comparison versus Standard was plotted because Standard is represented as a fixed reference line without an error bar.
