analysis,value,group,n_total,group_ns,replicate_definition,test,comparison,statistic,p_value,p_adjusted,correction,notes
Fig. 5a relative K4M fraction,relative_k4m_fraction,formulation_group,12,Standard: n=3; GPT-5.4: n=3; qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV).,Shapiro-Wilk normality check,Standard,1.0,1.0,,,
Fig. 5a relative K4M fraction,relative_k4m_fraction,formulation_group,12,Standard: n=3; GPT-5.4: n=3; qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV).,Shapiro-Wilk normality check,GPT-5.4,0.7500000000000002,7.771561172376096e-16,,,
Fig. 5a relative K4M fraction,relative_k4m_fraction,formulation_group,12,Standard: n=3; GPT-5.4: n=3; qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV).,Shapiro-Wilk normality check,qwen3.6-plus,0.8165050154568052,0.15454246582665832,,,
Fig. 5a relative K4M fraction,relative_k4m_fraction,formulation_group,12,Standard: n=3; GPT-5.4: n=3; qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV).,Shapiro-Wilk normality check,Gemini 2.5 Flash,0.75,0.0,,,
Fig. 5a relative K4M fraction,relative_k4m_fraction,formulation_group,12,Standard: n=3; GPT-5.4: n=3; qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV).,Levene variance check,all groups,0.8377861904041342,0.510135664408043,,,Median-centered Levene test used for variance check.
Fig. 5a relative K4M fraction,relative_k4m_fraction,formulation_group,12,Standard: n=3; GPT-5.4: n=3; qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV).,Kruskal-Wallis,overall,9.559523809523808,0.0227064859445418,,,Auto-selected non-parametric test because normality or variance assumptions were not supported. Levene p=0.510136.
Fig. 5a relative K4M fraction,relative_k4m_fraction,formulation_group,12,Standard: n=3; GPT-5.4: n=3; qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV).,Dunn post hoc,Standard vs GPT-5.4,,,0.05093154363785544,Dunn test with holm correction,
Fig. 5a relative K4M fraction,relative_k4m_fraction,formulation_group,12,Standard: n=3; GPT-5.4: n=3; qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV).,Dunn post hoc,Standard vs qwen3.6-plus,,,0.05908585719102499,Dunn test with holm correction,
Fig. 5a relative K4M fraction,relative_k4m_fraction,formulation_group,12,Standard: n=3; GPT-5.4: n=3; qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV).,Dunn post hoc,Standard vs Gemini 2.5 Flash,,,0.6061046589801655,Dunn test with holm correction,
Fig. 5a relative K4M fraction,relative_k4m_fraction,formulation_group,12,Standard: n=3; GPT-5.4: n=3; qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV).,Dunn post hoc,GPT-5.4 vs qwen3.6-plus,,,0.9088934243953068,Dunn test with holm correction,
Fig. 5a relative K4M fraction,relative_k4m_fraction,formulation_group,12,Standard: n=3; GPT-5.4: n=3; qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV).,Dunn post hoc,GPT-5.4 vs Gemini 2.5 Flash,,,0.43654993006827336,Dunn test with holm correction,
Fig. 5a relative K4M fraction,relative_k4m_fraction,formulation_group,12,Standard: n=3; GPT-5.4: n=3; qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV).,Dunn post hoc,qwen3.6-plus vs Gemini 2.5 Flash,,,0.43654993006827336,Dunn test with holm correction,
Fig. 5a relative K4M fraction versus Standard,relative_k4m_fraction,formulation_group,12,Standard: n=3; GPT-5.4: n=3; qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV).,Dunnett,GPT-5.4 vs Standard,9.514671017503547,,8.287998431888433e-06,Dunnett multiple comparisons versus control,
Fig. 5a relative K4M fraction versus Standard,relative_k4m_fraction,formulation_group,12,Standard: n=3; GPT-5.4: n=3; qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV).,Dunnett,qwen3.6-plus vs Standard,8.45241032171228,,3.835047354272536e-05,Dunnett multiple comparisons versus control,
Fig. 5a relative K4M fraction versus Standard,relative_k4m_fraction,formulation_group,12,Standard: n=3; GPT-5.4: n=3; qwen3.6-plus: n=3; Gemini 2.5 Flash: n=3,Each point is one formulation entry/replicate from the Fig. 5a CSV; the plotted value is recalculated as K4M/(K4M+K100LV).,Dunnett,Gemini 2.5 Flash vs Standard,4.853127834388098,,0.003292042547369256,Dunnett multiple comparisons versus control,
Fig. 5a warnings,relative_k4m_fraction,formulation_group,12,,,warning,runtime,,,,,scipy.stats.shapiro: Input data has range zero. The results may not be accurate. | Precision loss occurred in moment calculation due to catastrophic cancellation. This occurs when the data are nearly identical. Results may be unreliable.
