formulation_group,replicate_id,k4m_amount,k100lv_amount,k4m_k100lv_ratio,source_formulation_group,relative_k4m_fraction,relative_k4m_fraction_formula,denominator_k4m_plus_k100lv,provided_k4m_k100lv_ratio,provided_ratio_matches_fraction
Standard,std_1,2.5,2.8,,Standard,0.4716981132075472,K4M / (K4M + K100LV),5.3,,False
Standard,std_2,2.5,2.8,,Standard,0.4716981132075472,K4M / (K4M + K100LV),5.3,,False
Standard,std_3,2.5,2.8,,Standard,0.4716981132075472,K4M / (K4M + K100LV),5.3,,False
GPT-5.4,gpt_1,3.28,2.03,,gpt-5.4,0.6177024482109228,K4M / (K4M + K100LV),5.31,,False
GPT-5.4,gpt_2,3.34,1.97,,gpt-5.4,0.6290018832391714,K4M / (K4M + K100LV),5.31,,False
GPT-5.4,gpt_3,3.34,1.97,,gpt-5.4,0.6290018832391714,K4M / (K4M + K100LV),5.31,,False
qwen3.6-plus,qwen_1,3.35,1.95,,qwen3.6-plus,0.6320754716981133,K4M / (K4M + K100LV),5.3,,False
qwen3.6-plus,qwen_2,3.35,2.0,,qwen3.6-plus,0.6261682242990655,K4M / (K4M + K100LV),5.35,,False
qwen3.6-plus,qwen_3,3.0,2.3,,qwen3.6-plus,0.5660377358490566,K4M / (K4M + K100LV),5.3,,False
Gemini 2.5 Flash,gemini_1,2.88,2.432,,Gemini 2.5 Flash,0.5421686746987953,K4M / (K4M + K100LV),5.311999999999999,,False
Gemini 2.5 Flash,gemini_2,3.005,2.307,,Gemini 2.6 Flash,0.5657003012048193,K4M / (K4M + K100LV),5.311999999999999,,False
Gemini 2.5 Flash,gemini_3,2.88,2.432,,Gemini 2.7 Flash,0.5421686746987953,K4M / (K4M + K100LV),5.311999999999999,,False
