group_type,group_value,file_count,supported_count,unsupported_count,verdict_same_count,verdict_different_count,verdict_unknown_count,avg_experiment_completeness_pct,avg_dimension_coverage_pct,avg_dimension_detail_score_pct,avg_mechanism_score_pct,avg_reasoning_score_pct,avg_structural_completeness_pct,avg_overall_quality_score_pct,comparison_table_rate_pct,reference_trace_rate_pct,placeholder_reference_rate_pct,repeat_group_count,complete_repeat_group_count,consistent_repeat_group_count,inconsistent_repeat_group_count,potential_false_positive_count,potential_false_negative_count,repeat_consistency_rate_pct
OVERALL,ALL,165,165,0,72,70,23,1.01,70.61,39.38,0.93,0.19,39.39,26.31,0.0,1.21,1.21,61,47,17,29,15,13,36.96
MODEL_BUCKET,ChatGPT,40,40,0,24,6,10,0.0,77.5,42.62,0.0,0.0,37.5,27.52,0.0,0.0,0.0,15,11,8,2,0,2,80.0
MODEL_BUCKET,DeepSeek,45,45,0,23,22,0,0.0,93.33,51.34,0.0,0.0,50.0,33.87,0.0,0.0,0.0,15,15,4,11,5,6,26.67
MODEL_BUCKET,Kimi,35,35,0,9,13,13,4.76,63.57,37.54,4.37,0.9,34.29,25.23,0.0,5.71,5.71,16,6,2,4,2,1,33.33
MODEL_BUCKET,Qwen,45,45,0,16,29,0,0.0,47.22,25.98,0.0,0.0,34.44,18.51,0.0,0.0,0.0,15,15,3,12,8,4,20.0
DRUG,硝苯地平控释片30mg,165,165,0,72,70,23,1.01,70.61,39.38,0.93,0.19,39.39,26.31,0.0,1.21,1.21,61,47,17,29,15,13,36.96
MANUFACTURER_PAIR,拜新同 vs 一品红,11,11,0,5,4,2,0.0,60.23,33.13,0.0,0.0,34.09,22.13,0.0,0.0,0.0,4,3,0,3,1,2,0.0
MANUFACTURER_PAIR,拜新同 vs 久保平,11,11,0,5,5,1,0.0,70.45,38.75,0.0,0.0,38.64,25.7,0.0,0.0,0.0,4,3,2,1,0,1,66.67
MANUFACTURER_PAIR,拜新同 vs 亚宝,10,10,0,3,6,1,0.0,83.75,46.06,0.0,0.0,40.0,29.66,0.0,0.0,0.0,4,3,0,3,3,0,0.0
MANUFACTURER_PAIR,拜新同 vs 亿普,10,10,0,2,5,3,0.0,56.25,30.94,0.0,0.0,27.5,20.02,0.0,0.0,0.0,4,2,1,1,0,1,50.0
MANUFACTURER_PAIR,拜新同 vs 君保泰,11,11,0,1,7,3,0.0,59.09,32.5,0.0,0.0,36.36,22.15,0.0,0.0,0.0,4,3,1,1,1,0,50.0
MANUFACTURER_PAIR,拜新同 vs 奈特,11,11,0,7,2,2,0.0,61.36,33.75,0.0,0.0,38.64,23.13,0.0,0.0,0.0,4,3,1,2,0,2,33.33
MANUFACTURER_PAIR,拜新同 vs 奥赛定,12,12,0,7,3,2,0.0,64.58,35.52,0.0,0.0,39.58,24.18,0.0,0.0,0.0,4,4,2,2,1,1,50.0
MANUFACTURER_PAIR,拜新同 vs 居安诺,11,11,0,6,4,1,0.0,79.55,43.75,0.0,0.0,43.18,28.95,0.0,0.0,0.0,4,3,1,2,1,1,33.33
MANUFACTURER_PAIR,拜新同 vs 得欣通,9,9,0,5,3,1,0.0,70.83,38.96,0.0,0.0,38.89,25.84,0.0,0.0,0.0,4,2,1,1,1,0,50.0
MANUFACTURER_PAIR,拜新同 vs 拜新同,3,3,0,2,0,1,0.0,66.67,36.67,0.0,0.0,33.33,23.83,0.0,0.0,0.0,1,1,1,0,0,0,100.0
MANUFACTURER_PAIR,拜新同 vs 易释,12,12,0,5,5,2,13.89,71.88,47.03,12.75,2.64,47.92,33.7,0.0,16.67,16.67,4,4,1,2,2,0,33.33
MANUFACTURER_PAIR,拜新同 vs 欣然,10,10,0,2,7,1,0.0,75.0,41.25,0.0,0.0,37.5,26.81,0.0,0.0,0.0,4,3,1,2,2,0,33.33
MANUFACTURER_PAIR,拜新同 vs 欣适平,10,10,0,5,5,0,0.0,85.0,46.75,0.0,0.0,42.5,30.39,0.0,0.0,0.0,4,3,2,1,0,1,66.67
MANUFACTURER_PAIR,拜新同 vs 立方,12,12,0,5,7,0,0.0,86.46,47.55,0.0,0.0,45.83,31.3,0.0,0.0,0.0,4,4,2,2,2,0,50.0
MANUFACTURER_PAIR,拜新同 vs 贝奇康,11,11,0,7,3,1,0.0,78.41,43.13,0.0,0.0,43.18,28.63,0.0,0.0,0.0,4,3,1,3,0,2,25.0
MANUFACTURER_PAIR,拜新同 vs 赛新同,11,11,0,5,4,2,0.0,57.95,31.88,0.0,0.0,36.36,21.83,0.0,0.0,0.0,4,3,0,3,1,2,0.0
FORMAT,.docx,2,2,0,0,1,1,83.33,93.75,96.56,76.5,15.84,87.5,76.88,0.0,100.0,100.0,0,0,0,0,0,0,0.0
FORMAT,.md,163,163,0,72,69,22,0.0,70.32,38.68,0.0,0.0,38.8,25.69,0.0,0.0,0.0,0,0,0,0,0,0,0.0
