summary_scope,model_bucket,primary_drug_label,primary_pH_label,reference_manufacturer_label,manufacturer_label,manufacturer_pair,batch_pair,comparison_scope,repeat_group_total,complete_repeat_group_count,consistent_group_count,inconsistent_group_count,ambiguous_group_count,potential_false_positive_count,potential_false_negative_count,consistency_rate_pct,inconsistency_rate_pct
ALL_MODELS,ALL,咪唑斯汀缓释片10mg,pH6.8,皿治林,奥尼捷,皿治林 vs 奥尼捷,unknown,cross_manufacturer,3,0,0,0,3,0,0,0.0,0.0
ALL_MODELS,ALL,咪唑斯汀缓释片10mg,pH6.8,皿治林,皿治林,皿治林 vs 皿治林,unknown,same_manufacturer,3,0,3,0,0,0,0,100.0,0.0
ALL_MODELS,ALL,地诺孕素片2mg,pH4.5,唯散宁,博律,唯散宁 vs 博律,WE127F vs DH2505,cross_manufacturer,3,3,3,0,0,0,0,100.0,0.0
ALL_MODELS,ALL,地诺孕素片2mg,pH4.5,唯散宁,唯散宁,唯散宁 vs 唯散宁,WE127F vs WE127F,same_manufacturer,3,3,2,1,0,0,1,66.67,33.33
ALL_MODELS,ALL,地诺孕素片2mg,pH4.5,唯散宁,小仙片,唯散宁 vs 小仙片,WE127F vs 101250301,cross_manufacturer,3,3,3,0,0,0,0,100.0,0.0
ALL_MODELS,ALL,地诺孕素片2mg,pH4.5,唯散宁,紫竹,唯散宁 vs 紫竹,WE127F vs 43250634,cross_manufacturer,3,3,3,0,0,0,0,100.0,0.0
ALL_MODELS,ALL,地诺孕素片2mg,pH4.5,唯散宁,蒂诺安,唯散宁 vs 蒂诺安,WE127F vs DEA241203,cross_manufacturer,3,3,2,1,0,0,1,66.67,33.33
ALL_MODELS,ALL,硝苯地平控释片30mg,unknown,拜新同,一品红,拜新同 vs 一品红,BJ86516 vs 302125001,cross_manufacturer,3,0,0,0,3,0,0,0.0,0.0
ALL_MODELS,ALL,硝苯地平控释片30mg,unknown,拜新同,久保平,拜新同 vs 久保平,BJ86516 vs 22400938,cross_manufacturer,3,0,0,0,3,0,0,0.0,0.0
ALL_MODELS,ALL,硝苯地平控释片30mg,unknown,拜新同,亚宝,拜新同 vs 亚宝,BJ86516 vs 241001,cross_manufacturer,3,0,0,0,3,0,0,0.0,0.0
ALL_MODELS,ALL,硝苯地平控释片30mg,unknown,拜新同,亿普,拜新同 vs 亿普,BJ86516 vs A240105R1,cross_manufacturer,3,0,0,0,3,0,0,0.0,0.0
ALL_MODELS,ALL,硝苯地平控释片30mg,unknown,拜新同,君保泰,拜新同 vs 君保泰,BJ86516 vs 2505363,cross_manufacturer,3,0,0,0,3,0,0,0.0,0.0
ALL_MODELS,ALL,硝苯地平控释片30mg,unknown,拜新同,奈特,拜新同 vs 奈特,BJ86516 vs 240419111,cross_manufacturer,3,0,0,0,3,0,0,0.0,0.0
ALL_MODELS,ALL,硝苯地平控释片30mg,unknown,拜新同,奥赛定,拜新同 vs 奥赛定,BJ86516 vs 0000117508,cross_manufacturer,3,0,0,0,3,0,0,0.0,0.0
