"type","repo_path","source"
"gliclazide_uv","validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0410_standard_viscosity.xlsx","E:\桌面\办公\符\论文\药学大模型推进\紫外记录\output\0410-紫外-格列齐特-标准粘度.xlsx"
"gliclazide_uv","validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0411_low_viscosity.xlsx","E:\桌面\办公\符\论文\药学大模型推进\紫外记录\output\0411-紫外-格列齐特-低粘度.xlsx"
"gliclazide_uv","validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0413_high_viscosity.xlsx","E:\桌面\办公\符\论文\药学大模型推进\紫外记录\output\0413-紫外-格列齐特-高粘度 .xlsx"
"gliclazide_uv","validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0414_standard_viscosity.xlsx","E:\桌面\办公\符\论文\药学大模型推进\紫外记录\output\0414-紫外-格列齐特-标准粘度.xlsx"
"gliclazide_uv","validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0415_low_viscosity.xlsx","E:\桌面\办公\符\论文\药学大模型推进\紫外记录\output\0415-紫外-格列齐特-低粘度 .xlsx"
"gliclazide_uv","validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0416_high_viscosity.xlsx","E:\桌面\办公\符\论文\药学大模型推进\紫外记录\output\0416-紫外-格列齐特-高粘度 .xlsx"
"gliclazide_uv","validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0423_gpts.xlsx","E:\桌面\办公\符\论文\药学大模型推进\紫外记录\output\0423-紫外-格列齐特-GPTs.xlsx"
"gliclazide_uv","validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0424_gemini.xlsx","E:\桌面\办公\符\论文\药学大模型推进\紫外记录\output\0424-紫外-格列齐特-Gemini.xlsx"
"gliclazide_uv","validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0425_qwen.xlsx","E:\桌面\办公\符\论文\药学大模型推进\紫外记录\output\0425-紫外-格列齐特-Qwen.xlsx"
"gliclazide_uv","validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0507_standard_viscosity.xlsx","E:\桌面\办公\符\论文\药学大模型推进\紫外记录\output\0507-紫外-格列齐特-标准粘度.xlsx"
"gliclazide_uv","validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0508_low_viscosity.xlsx","E:\桌面\办公\符\论文\药学大模型推进\紫外记录\output\0508-紫外-格列齐特-低粘度.xlsx"
"gliclazide_uv","validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0509_high_viscosity.xlsx","E:\桌面\办公\符\论文\药学大模型推进\紫外记录\output\0509-紫外-格列齐特-高粘度.xlsx"
"gliclazide_uv","validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0510_gpts.xlsx","E:\桌面\办公\符\论文\药学大模型推进\紫外记录\output\0510-紫外-格列齐特-GPTs.xlsx"
"gliclazide_uv","validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0515_gpts.xlsx","E:\桌面\办公\符\论文\药学大模型推进\紫外记录\output\0515-紫外-格列齐特-GPTs.xlsx"
"gliclazide_uv","validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0516_gemini.xlsx","E:\桌面\办公\符\论文\药学大模型推进\紫外记录\output\0516-紫外-格列齐特-Gemini.xlsx"
"gliclazide_uv","validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0517_gemini.xlsx","E:\桌面\办公\符\论文\药学大模型推进\紫外记录\output\0517-紫外-格列齐特-Gemini.xlsx"
"gliclazide_uv","validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0518_qwen.xlsx","E:\桌面\办公\符\论文\药学大模型推进\紫外记录\output\0518-紫外-格列齐特-Qwen.xlsx"
"gliclazide_uv","validation_data/uv_absorbance_values/gliclazide_uv_absorbance_0519_qwen.xlsx","E:\桌面\办公\符\论文\药学大模型推进\紫外记录\output\0519-紫外-格列齐特-Qwen.xlsx"
"node_descriptions","workflows/node_descriptions.md","D:\data\pharma\describe"
"openfda_mapping","knowledge_base/openfda_field_mapping.md","D:\new python\3d模型预测\数据整理与训练\fetch_openfda_excipients.py; D:\data\pharma\open fda\output"
"batch_script","scripts/run_dis_chatflow_batch.py","D:\new python\3d模型预测\大模型训练\chatflow_api_Nifedipine Controlled-Release Tablets.py"
